ツモ,対応地形数,使用ミノ,未使用ミノ,テト譜
SJZLITO,0,,,
ZTLOJSI,0,,,
OIZLJTS,0,,,
JIZTLSO,0,,,
OJSITZL,0,,,
SZJLITO,0,,,
SIZTOJL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
IOZLJTS,0,,,
JZITLSO,0,,,
SZJLIOT,0,,,
OJSITLZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB
SIZTJOL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
JZITLOS,0,,,
IZOLJTS,0,,,
JZITOLS,0,,,
SIZTJLO,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
IZLOJTS,0,,,
JZIOTLS,0,,,
JZOITLS,0,,,
ZTOLJSI,0,,,
JILSTZO,0,,,
JOZITLS,0,,,
SZITJLO,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
JOSITLZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB
SZJLOIT,0,,,
SJTIOZL,0,,,
ZOTLJSI,0,,,
SZJOLIT,0,,,
OJZITLS,0,,,
JSOITLZ,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3HYaAFLDmClc?JSAVDEHBEooRBToAVBMuKxCqXBAAvhFCrBZkBzhBNlBGoBU?rB
IZLJOTS,0,,,
SJTOIZL,0,,,
SZOJLIT,0,,,
IZLJTOS,0,,,
JILSTOZ,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3HYaAFLDmClc?JSAVDEHBEooRBToAVBMuKxCqXBAAvhFCrBZkBzhBNlBGoBU?rB
JSIOTLZ,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3HYaAFLDmClc?JSAVDEHBEooRBToAVBMuKxCqXBAAvhFCrBZkBzhBNlBGoBU?rB
SJOTIZL,0,,,
SZITJOL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
IZLJTSO,0,,,
SOJTIZL,0,,,
SOZJLIT,0,,,
JILSOTZ,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3HYaAFLDmClc?JSAVDEHBEooRBToAVBMuKxCqXBAAvhFCrBZkBzhBNlBGoBU?rB
JSITOLZ,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3HYaAFLDmClc?JSAVDEHBEooRBToAVBMuKxCqXBAAvhFCrBZkBzhBNlBGoBU?rB
ILZJTSO,0,,,
SZITOJL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
OSJTIZL,0,,,
ILZJTOS,0,,,
JSITLOZ,2,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB;v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3HYaAFLDmClc?JSAVDEHBEooRBToAVBMuKxCqXBAAvhFCrBZkBzhBNlBGoBU?rB
JILOSTZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB
SZIOTJL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
JSITLZO,0,,,
OSJTILZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB
ILZJOTS,0,,,
ILZOJTS,0,,,
JIOLSTZ,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8JeWQYaAFLDmClc?JSAVDEHBEooRBKoAVBJHstC0XBAAvhFZkBToB6sBfsBNqBU?rB
SJITLZO,0,,,
OSZJLIT,0,,,
SZOITJL,1,TILJSZO,,v115@+gA8IeA8BeA8FeA8FeB8AeB8CeD8Je3LYaAFLDmClc?JSAVDEHBEooRBToAVBUuKWC6/AAAvhFtqBZkBToB6sB0mBO?qB
ILOZJTS,0,,,
